ykiho_raw,name,address_road,phone,lat,lng,sido_code,sido_name,sigungu_code,sigungu_name
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,명동 더서울약국,"서울특별시 중구 명동길 27, 1~3층 (명동1가)",02-3789-9844,37.563827,126.9838573,110000,서울특별시,110017,중구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjODEjJDEjJDIjJDgz,행운약국,"서울특별시 중랑구 사가정로 386, 1층 101호 (면목동)",02-435-9992,37.5805168,127.0874093,110000,서울특별시,110019,중랑구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,새서울약국,"서울특별시 구로구 가마산로 268, 대림역와이즈플레이스 108호 (구로동)",02-862-0268,37.4957168,126.8902483,110000,서울특별시,110005,구로구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,북가좌수약국,"서울특별시 서대문구 응암로 60, 경원빌딩 1층 (북가좌동)",070-8243-0365,37.5784681,126.9105432,110000,서울특별시,110010,서대문구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,더조은약국,"서울특별시 강동구 상암로 41, 1층 120, 120-1호 (암사동, 암사동양덱스빌)",02-428-2588,37.5501489,127.1282178,110000,서울특별시,110002,강동구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzMxIyQxIyQ3IyQ3OSQzNjEwMDIjNTEjJDEjJDYjJDgz,청담장수 한약국,"서울특별시 강남구 도산대로89길 3, (청담동, 2층 일부)",542-9828,37.5250602,127.0502083,110000,서울특별시,110001,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQ3IyQwMyQzNjEwMDIjODEjJDEjJDYjJDgz,대도약국,"서울특별시 종로구 우정국로 38-1, 1층 (견지동)",02-737-4510,37.5724922,126.983275,110000,서울특별시,110016,종로구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQyIyQxIyQwMCQyNjE0ODEjODEjJDEjJDIjJDgz,메디팜정연약국,"서울특별시 강남구 강남대로 256, 103호 (도곡동, 대우양재디오빌)",02-522-5925,37.4864916,127.0335456,110000,서울특별시,110001,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ2MiQyNjE4MzIjNDEjJDEjJDQjJDgz,진선약국,"서울특별시 강남구 선릉로 424, (대치동)",567-0429,37.5029179,127.0500875,110000,서울특별시,110001,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzQxIyQxIyQ3IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,직영약국,"서울특별시 강북구 도봉로67길 13, (미아동)",02-989-2370,37.6305897,127.0235512,110000,서울특별시,110024,강북구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ3MiQzNjEwMDIjNzEjJDEjJDgjJDgz,새서울약국,"서울특별시 강북구 솔샘로 223, (미아동)",02-981-8215,37.6202822,127.0175897,110000,서울특별시,110024,강북구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQxIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,금창약국,"서울특별시 동대문구 약령시로 3, 1층 (제기동)",928-6985,37.5828078,127.0301301,110000,서울특별시,110007,동대문구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQyIyQ5IyQwMCQ0NjE0ODEjODEjJDEjJDIjJDgz,석산약국,"서울특별시 성북구 오패산로1길 1, (하월곡동)",02-912-2020,37.6034744,127.0368415,110000,서울특별시,110012,성북구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzUxIyQxIyQ1IyQwMyQzNjEwMDIjNzEjJDEjJDgjJDgz,왕십리약국,"서울특별시 성동구 무학봉길 92, (하왕십리동)",02-2292-4247,37.5622059,127.0322163,110000,서울특별시,110011,성동구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,라라약국,"서울특별시 관악구 남부순환로 1619, 영일빌딩 1층 (신림동)",,37.4846557,126.930519,110000,서울특별시,110004,관악구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQxIyQ5OSQyNjE4MzIjNjEjJDEjJDQjJDgz,화생약국,"서울특별시 성동구 행당로 1, 103호 (금호동1가)",02-2293-4858,37.5548181,127.02036,110000,서울특별시,110011,성동구
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNTgxOTYxIzQxIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,이층약국,"서울특별시 은평구 연서로 9, 2층 205(상가)호 (역촌동, 센타폴리스)",02-6085-0466,37.6001182,126.9156678,110000,서울특별시,110015,은평구
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz,21세기상계약국,"서울특별시 노원구 동일로 1548, (상계동)",937-2288,37.6666795,127.0576424,110000,서울특별시,110022,노원구
